stage,statistic,value,notes,verification_status
title_abstract,cohen_kappa,0.754,reported aggregate; paired decisions not deposited,reported_review_result_not_independently_recomputable
title_abstract,kappa_95ci,"[0.731, 0.777]",reported confidence interval; source matrix not deposited,reported_review_result_not_independently_recomputable
title_abstract,disagreements,417,reported disagreement count; directional split not deposited,reported_review_result_not_independently_recomputable
title_abstract,raw_agreement_pct,97.0,reported aggregate; source matrix not deposited,reported_review_result_not_independently_recomputable
title_abstract,pabak,0.940,2*raw_agreement-1,reported_review_result_not_independently_recomputable
title_abstract,gwet_ac1,0.966,reported aggregate; source matrix not deposited,reported_review_result_not_independently_recomputable
full_text,cohen_kappa,0.877,reported aggregate; paired decisions not deposited,reported_review_result_not_independently_recomputable
full_text,kappa_95ci,"[0.843, 0.909]",reported confidence interval; source matrix not deposited,reported_review_result_not_independently_recomputable
full_text,disagreements,49,reported disagreement count; directional split not deposited,reported_review_result_not_independently_recomputable
full_text,raw_agreement_pct,94.6,reported aggregate; source matrix not deposited,reported_review_result_not_independently_recomputable
full_text,pabak,0.891,2*raw_agreement-1,reported_review_result_not_independently_recomputable
full_text,gwet_ac1,0.903,reported aggregate; source matrix not deposited,reported_review_result_not_independently_recomputable
appraisal,n_rated_items,660,132 core studies x 5 dimensions,reported_review_result_not_independently_recomputable
appraisal,observed_agreement_pct,91.2,reported aggregate; row-level ratings not deposited,reported_review_result_not_independently_recomputable
appraisal,cohen_kappa_unweighted,0.867,reported aggregate; source matrix not deposited,reported_review_result_not_independently_recomputable
appraisal,kappa_95ci,"[0.832, 0.898]",reported confidence interval; source matrix not deposited,reported_review_result_not_independently_recomputable
