stage,item,n,formula,verification_status
identification,IEEE Xplore,3214,reported source count,reported_review_result_not_independently_recomputable
identification,ACM Digital Library,1987,reported source count,reported_review_result_not_independently_recomputable
identification,Scopus,4568,reported source count,reported_review_result_not_independently_recomputable
identification,Web of Science Core Collection,3511,reported source count,reported_review_result_not_independently_recomputable
identification,Google Scholar (supplementary),2142,reported source count,reported_review_result_not_independently_recomputable
identification,Citation tracking + 2026 proceedings,1060,reported source count,reported_review_result_not_independently_recomputable
identification,N1_total_identified,16482,sum of source rows,reported_review_result_not_independently_recomputable
removed_before_screening,duplicates,2128,reported review result,reported_review_result_not_independently_recomputable
removed_before_screening,out_of_range_date,166,reported review result,reported_review_result_not_independently_recomputable
removed_before_screening,non_english,113,reported review result,reported_review_result_not_independently_recomputable
removed_before_screening,ineligible_document_type,170,reported review result,reported_review_result_not_independently_recomputable
removed_before_screening,removed_total,2577,2128+166+113+170,reported_review_result_not_independently_recomputable
screening,N2_title_abstract_screened,13905,N1 - removed_total,reported_review_result_not_independently_recomputable
screening,title_abstract_excluded,12958,reported review result,reported_review_result_not_independently_recomputable
screening,N3_full_texts_sought,947,N2 - title_abstract_excluded,reported_review_result_not_independently_recomputable
eligibility,reports_not_retrieved,44,reported review result,reported_review_result_not_independently_recomputable
eligibility,N4_full_text_assessed,903,N3 - not_retrieved,reported_review_result_not_independently_recomputable
eligibility,full_text_excluded_EC1,35,reported review result; see 06_eligibility_inclusion_exclusion.csv,reported_review_result_not_independently_recomputable
eligibility,full_text_excluded_EC2,51,reported review result; see 06_eligibility_inclusion_exclusion.csv,reported_review_result_not_independently_recomputable
eligibility,full_text_excluded_EC3,93,reported review result; see 06_eligibility_inclusion_exclusion.csv,reported_review_result_not_independently_recomputable
eligibility,full_text_excluded_EC4,78,reported review result; see 06_eligibility_inclusion_exclusion.csv,reported_review_result_not_independently_recomputable
eligibility,full_text_excluded_EC5,30,reported review result; see 06_eligibility_inclusion_exclusion.csv,reported_review_result_not_independently_recomputable
included,N5_studies_included,616,N4 - sum(EC1..EC5),reported_review_result_not_independently_recomputable
included,core_studies_S3,132,reported core-primary subset,reported_review_result_not_independently_recomputable
included,tier1_behavioural_primary,441,primary-tier allocation; T1+T2+T3 must equal N5,reported_review_result_not_independently_recomputable
included,tier2_hazard_primary,122,primary-tier allocation,reported_review_result_not_independently_recomputable
included,tier3_feed_integrity_primary,53,primary-tier allocation,reported_review_result_not_independently_recomputable
