citation_key,entry_type,year,author,title,journal,booktitle,volume,number,pages,publisher,doi,url,role_in_review,verification_status
patrikar2022anomaly,article,2022,"Patrikar, Devashree R. and Parate, Mayur R.",Anomaly detection using edge computing in video surveillance system: Review,International Journal of Multimedia Information Retrieval,,11,2,85--110,Springer,10.1007/s13735-022-00227-8,,positioning_review,transcribed_from_manuscript
nayak2021comprehensive,article,2021,"Nayak, Rashmiranjan and Pati, Umesh Chandra and Das, Santos Kumar",A comprehensive review on deep learning-based methods for video anomaly detection,Image and Vision Computing,,106,,104078,Elsevier,10.1016/j.imavis.2020.104078,,positioning_review,transcribed_from_manuscript
sreenu2019intelligent,article,2019,"Sreenu, Gajjala and Saleem Durai, M. A.",Intelligent video surveillance: A review through deep learning techniques for crowd analysis,Journal of Big Data,,6,1,48,Springer,10.1186/s40537-019-0212-5,,positioning_review,transcribed_from_manuscript
ramzan2019review,article,2019,"Ramzan, Muhammad and Abid, Adnan and Khan, Hikmat Ullah and Awan, Shahid Mahmood and Ismail, Amina and Ahmed, Muzamil and Ilyas, Mahwish and Mahmood, Ahsan",A review on state-of-the-art violence detection techniques,IEEE Access,,7,,107560--107575,IEEE,10.1109/ACCESS.2019.2932114,,positioning_review,transcribed_from_manuscript
yao2019unsupervised,inproceedings,2019,"Yao, Yu and Xu, Mingze and Wang, Yuchen and Crandall, David J. and Atkins, Ella M.",Unsupervised traffic accident detection in first-person videos,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,273--280,,10.1109/IROS40897.2019.8967556,,primary_or_comparative_study,transcribed_from_manuscript
bergmann2019mvtec,inproceedings,2019,"Bergmann, Paul and Fauser, Michael and Sattlegger, David and Steger, Carsten",MVTec AD--A comprehensive real-world dataset for unsupervised anomaly detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,9592--9600,,10.1109/CVPR.2019.00982,,dataset_or_benchmark,transcribed_from_manuscript
sultani2018real,inproceedings,2018,"Sultani, Waqas and Chen, Chen and Shah, Mubarak",Real-world anomaly detection in surveillance videos,,IEEE Conference on Computer Vision and Pattern Recognition,,,6479--6488,,10.1109/CVPR.2018.00678,,primary_or_comparative_study,transcribed_from_manuscript
liu2018future,inproceedings,2018,"Liu, Wen and Luo, Weixin and Lian, Dongze and Gao, Shenghua",Future frame prediction for anomaly detection--A new baseline,,IEEE Conference on Computer Vision and Pattern Recognition,,,6536--6545,,10.1109/CVPR.2018.00684,,primary_or_comparative_study,transcribed_from_manuscript
muhammad2019efficient,article,2019,"Muhammad, Khan and Ahmad, Jamil and Baik, Sung Wook",Efficient deep CNN-based fire detection and localization in video surveillance applications,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",,49,7,1419--1434,IEEE,10.1109/TSMC.2018.2830099,,primary_or_comparative_study,transcribed_from_manuscript
chen2022fire,article,2022,"Huang, Lida and Liu, Gang and Wang, Yan and Yuan, Hongyong and Chen, Tao",Fire detection in video surveillances using convolutional neural networks and wavelet transform,Engineering Applications of Artificial Intelligence,,110,,104737,,10.1016/j.engappai.2022.104737,,primary_or_comparative_study,transcribed_from_manuscript
