citation_key,method_or_study,primary_tier,D1,D2,D3,D4,D5,rater,note
ribnick2006realtime,Ribnick et al.,3,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
foggia2015fire,Foggia et al.,2,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
hasan2016learning,Conv-AE,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
chong2017abnormal,ConvLSTM-AE,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
luo2017revisit,Stacked RNN,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
mantini2017signal,Mantini and Shah,3,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
liu2018future,Frame-Pred,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
sultani2018real,MIL-Rank,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
gong2019memorizing,MemAE,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
jadon2019firenet,FireNet,2,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
mantini2019uhctd,Mantini and Shah (UHCTD),3,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
morais2019learning,Morais et al.,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
