slot,label,n,verification_status
id_ieee,IEEE Xplore,3214,provisional_author_verification_required
id_acm,ACM Digital Library,1987,provisional_author_verification_required
id_scopus,Scopus,4568,provisional_author_verification_required
id_wos,Web of Science,3511,provisional_author_verification_required
id_scholar,Google Scholar (supplementary),2142,provisional_author_verification_required
id_other,Citation tracking + 2026 proceedings,1060,provisional_author_verification_required
N1,Total identified,16482,provisional_author_verification_required
dup,Duplicates removed,2128,provisional_author_verification_required
oor,Out-of-range date,166,provisional_author_verification_required
lang,Non-English,113,provisional_author_verification_required
type,Ineligible document type,170,provisional_author_verification_required
N2,Title/abstract screened,13905,provisional_author_verification_required
ta_ex,Title/abstract excluded,12958,provisional_author_verification_required
N3,Full texts sought,947,provisional_author_verification_required
not_ret,Not retrieved,44,provisional_author_verification_required
N4,Full text assessed,903,provisional_author_verification_required
EC1,EC1 excluded,35,provisional_author_verification_required
EC2,EC2 excluded,51,provisional_author_verification_required
EC3,EC3 excluded,93,provisional_author_verification_required
EC4,EC4 excluded,78,provisional_author_verification_required
EC5,EC5 excluded,30,provisional_author_verification_required
N5,Studies included,616,provisional_author_verification_required
S3_core,Core studies in S3,132,provisional_author_verification_required
