result_id,source_table,method,citation_key,year,benchmark,metric,value,verification_status
R01,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,UCSD Ped2,frame-level micro-AUC (%),85.0,transcribed_from_manuscript
R02,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,CUHK Avenue,frame-level micro-AUC (%),80.0,transcribed_from_manuscript
R03,tab:consolidated_performance,Conv-AE,hasan2016learning,2016,ShanghaiTech,frame-level AUC (%),60.9,transcribed_from_manuscript
R04,tab:consolidated_performance,Frame-Pred,liu2018future,2018,UCSD Ped2,frame-level micro-AUC (%),95.4,transcribed_from_manuscript
R05,tab:consolidated_performance,Frame-Pred,liu2018future,2018,CUHK Avenue,frame-level micro-AUC (%),85.1,transcribed_from_manuscript
R06,tab:consolidated_performance,Frame-Pred,liu2018future,2018,ShanghaiTech,frame-level AUC (%),72.8,transcribed_from_manuscript
R07,tab:consolidated_performance,MemAE,gong2019memorizing,2019,UCSD Ped2,frame-level micro-AUC (%),94.1,transcribed_from_manuscript
R08,tab:consolidated_performance,MemAE,gong2019memorizing,2019,CUHK Avenue,frame-level micro-AUC (%),83.3,transcribed_from_manuscript
R09,tab:consolidated_performance,MemAE,gong2019memorizing,2019,ShanghaiTech,frame-level AUC (%),71.2,transcribed_from_manuscript
R10,tab:consolidated_performance,MNAD,park2020learning,2020,UCSD Ped2,frame-level micro-AUC (%),97.0,transcribed_from_manuscript
R11,tab:consolidated_performance,MNAD,park2020learning,2020,CUHK Avenue,frame-level micro-AUC (%),88.5,transcribed_from_manuscript
R12,tab:consolidated_performance,MNAD,park2020learning,2020,ShanghaiTech,frame-level AUC (%),70.5,transcribed_from_manuscript
R13,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,UCSD Ped2,frame-level micro-AUC (%),97.8,transcribed_from_manuscript
R14,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,CUHK Avenue,frame-level micro-AUC (%),89.3,transcribed_from_manuscript
R15,tab:consolidated_performance,Georgescu et al.,georgescu2021anomaly,2021,ShanghaiTech,frame-level AUC (%),82.7,transcribed_from_manuscript
R16,tab:consolidated_performance,SSMTL++v1,barbalau2023ssmtl,2023,CUHK Avenue,frame-level micro-AUC (%),93.7,transcribed_from_manuscript
R17,tab:consolidated_performance,SSMTL++v1,barbalau2023ssmtl,2023,ShanghaiTech,frame-level AUC (%),82.9,transcribed_from_manuscript
R18,tab:consolidated_performance,SSMTL++v2,barbalau2023ssmtl,2023,CUHK Avenue,frame-level micro-AUC (%),91.6,transcribed_from_manuscript
R19,tab:consolidated_performance,SSMTL++v2,barbalau2023ssmtl,2023,ShanghaiTech,frame-level AUC (%),83.8,transcribed_from_manuscript
R20,tab:consolidated_performance,STG-NF,hirschorn2023normalizing,2023,ShanghaiTech,frame-level AUC (%),85.9,transcribed_from_manuscript
R21,tab:consolidated_performance,FPDM,yan2023feature,2023,CUHK Avenue,frame-level micro-AUC (%),90.1,transcribed_from_manuscript
R22,tab:consolidated_performance,FPDM,yan2023feature,2023,ShanghaiTech,frame-level AUC (%),78.6,transcribed_from_manuscript
R23,tab:consolidated_performance,HSC,sun2023hierarchical,2023,UCSD Ped2,frame-level micro-AUC (%),98.1,transcribed_from_manuscript
R24,tab:consolidated_performance,HSC,sun2023hierarchical,2023,CUHK Avenue,frame-level micro-AUC (%),93.7,transcribed_from_manuscript
R25,tab:consolidated_performance,HSC,sun2023hierarchical,2023,ShanghaiTech,frame-level AUC (%),83.4,transcribed_from_manuscript
R26,tab:weak_foundation_performance,MIL-Rank,sultani2018real,2018,UCF-Crime,frame-level AUC (%),75.4,transcribed_from_manuscript
R27,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,ShanghaiTech,frame-level AUC (%),97.2,transcribed_from_manuscript
